text;intent
Который час?;Скажи время
Скажи время;Скажи время
Сколько сейчас времени?;Скажи время
Сколько ща время?;Скажи время
скажи, пожалуйста, сколько время?;Скажи время
который сейчас час?;Скажи время
какое сейчас время?;Скажи время
сколько сейчас на часах?;Скажи время
сколько времени сейчас?;Скажи время
Скажи точное время;Скажи время
Заведи будильник на завтра на 9 утра;Заведи будильник
Поставь будильник на 7:30;Заведи будильник
поставь, пожалуйста, будильник на 15:20;Заведи будильник
разбуди меня в 8 утра;Заведи будильник
Поставь ежедневный будильник на 10:45;Заведи будильник
заведи будильник на 17:30;Заведи будильник
Поставьте будильник на 2 часа дня;Заведи будильник
Будильник на 10 утра;Заведи будильник
поставь будильник на 16:00;Заведи будильник
заведи, пожалуйста, будильник на 11 часов;Заведи будильник
разбуди меня в 18:30;Заведи будильник
будильник на 21:00;Заведи будильник
Добрый день! Я бы хотел заказать один;Заказ билетов на поезд
Хочу оформить билет на Сапсан из Москвы;Заказ билетов на поезд
Мне нужно 3;Заказ билетов на поезд
Есть билеты на поезд в субботу?;Заказ билетов на поезд
Мне нужен билет на пригородный поезд Москва;Заказ билетов на поезд
Дайте два;Заказ билетов на поезд
оформите, пожалуйста, 2;Заказ билетов на поезд
мне билет из Братска на ближайший поезд;Заказ билетов на поезд
4 на ближайшее время, пожалуйста;Заказ билетов на поезд
мне нужен билет на поезд Уфа;Заказ билетов на поезд
Девушка, подскажите, у вас есть 5 на самый ранний поезд?;Заказ билетов на поезд
билет на поезд из Москвы;Заказ билетов на поезд
мне один;Заказ билетов на поезд
мне два;Заказ билетов на поезд
дайте билет на поезд из Адлера;Заказ билетов на поезд
2;Заказ билетов на поезд
Дайте, пожалуйста, билет на поезд из Томска;Заказ билетов на поезд
билет из Якутска на ближайший поезд;Заказ билетов на поезд
добрый день! два, пожалуйста;Заказ билетов на поезд
Выключи свет;Выключи свет
выключи свет в комнате;Выключи свет
выключи, пожалуйста, свет;Выключи свет
выключи романтическое освещение;Выключи свет
выключи бра;Выключи свет
выключи лампу;Выключи свет
выключи люстру;Выключи свет
выключи верхний свет в детской;Выключи свет
